kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp;ruian_kod
7204;Luhačovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7204;1422
7205;Otrokovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7205;1431
7206;Rožnov pod Radhoštěm;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7206;2038
7207;Uherské Hradiště;CZ0722;Uherské Hradiště;CZ072;Zlínský;CZ0722;7207;1601
7208;Uherský Brod;CZ0722;Uherské Hradiště;CZ072;Zlínský;CZ0722;7208;1619
7209;Valašské Klobouky;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7209;1449
7210;Valašské Meziříčí;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7210;2046
7211;Vizovice;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7211;1457
7212;Vsetín;CZ0723;Vsetín;CZ072;Zlínský;CZ0723;7212;2054
7213;Zlín;CZ0724;Zlín;CZ072;Zlínský;CZ0724;7213;1465
8101;Bílovec;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8001;1830
8102;Bohumín;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8002;1783
8103;Bruntál;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8003;1716
8104;Český Těšín;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8004;1821
8105;Frenštát pod Radhoštěm;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8005;1848
8106;Frýdek-Místek;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8006;1741
8107;Frýdlant nad Ostravicí;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8007;1759
8108;Havířov;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8008;1791
8109;Hlučín;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8009;1929
8110;Jablunkov;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8010;1767
8111;Karviná;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8011;1805
8112;Kopřivnice;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8012;1856
8113;Kravaře;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8013;1937
8114;Krnov;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8014;1724
8115;Nový Jičín;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8015;1864
8116;Odry;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8016;1872
8117;Opava;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8017;1945
8118;Orlová;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8018;1813
8119;Ostrava;CZ0816;Ostrava-město;CZ080;Moravskoslezský;CZ0806;8019;1961
8120;Rýmařov;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8020;1732
8121;Třinec;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8021;1775
8122;Vítkov;CZ0815;Opava;CZ080;Moravskoslezský;CZ0805;8022;1953
